Year,Driver,Points,Position,RaceOfTheSeason
2018,Lewis Hamilton,408.0,1,21
2018,Sebastian Vettel,320.0,2,21
2018,Kimi Räikkönen,251.0,3,21
2018,Max Verstappen,249.0,4,21
2018,Valtteri Bottas,247.0,5,21
2018,Daniel Ricciardo,170.0,6,21
2018,Nico Hülkenberg,69.0,7,21
2018,Sergio Pérez,62.0,8,21
2018,Kevin Magnussen,56.0,9,21
2018,Carlos Sainz,53.0,10,21
2018,Fernando Alonso,50.0,11,21
2018,Esteban Ocon,49.0,12,21
2018,Charles Leclerc,39.0,13,21
2018,Romain Grosjean,37.0,14,21
2018,Pierre Gasly,29.0,15,21
2018,Stoffel Vandoorne,12.0,16,21
2018,Marcus Ericsson,9.0,17,21
2018,Lance Stroll,6.0,18,21
2018,Brendon Hartley,4.0,19,21
2018,Sergey Sirotkin,1.0,20,21
2019,Lewis Hamilton,413.0,1,21
2019,Valtteri Bottas,326.0,2,21
2019,Max Verstappen,278.0,3,21
2019,Charles Leclerc,264.0,4,21
2019,Sebastian Vettel,240.0,5,21
2019,Carlos Sainz,96.0,6,21
2019,Pierre Gasly,95.0,7,21
2019,Alexander Albon,92.0,8,21
2019,Daniel Ricciardo,54.0,9,21
2019,Sergio Pérez,52.0,10,21
2019,Lando Norris,49.0,11,21
2019,Kimi Räikkönen,43.0,12,21
2019,Daniil Kvyat,37.0,13,21
2019,Nico Hülkenberg,37.0,14,21
2019,Lance Stroll,21.0,15,21
2019,Kevin Magnussen,20.0,16,21
2019,Antonio Giovinazzi,14.0,17,21
2019,Romain Grosjean,8.0,18,21
2019,Robert Kubica,1.0,19,21
2019,George Russell,0.0,20,21
2020,Lewis Hamilton,347.0,1,17
2020,Valtteri Bottas,223.0,2,17
2020,Max Verstappen,214.0,3,17
2020,Sergio Pérez,125.0,4,17
2020,Daniel Ricciardo,119.0,5,17
2020,Carlos Sainz,105.0,6,17
2020,Alexander Albon,105.0,7,17
2020,Charles Leclerc,98.0,8,17
2020,Lando Norris,97.0,9,17
2020,Pierre Gasly,75.0,10,17
2020,Lance Stroll,75.0,11,17
2020,Esteban Ocon,62.0,12,17
2020,Sebastian Vettel,33.0,13,17
2020,Daniil Kvyat,32.0,14,17
2020,Nico Hülkenberg,10.0,15,17
2020,Kimi Räikkönen,4.0,16,17
2020,Antonio Giovinazzi,4.0,17,17
2020,George Russell,3.0,18,17
2020,Romain Grosjean,2.0,19,17
2020,Kevin Magnussen,1.0,20,17
2020,Nicholas Latifi,0.0,21,17
2020,Jack Aitken,0.0,22,17
2020,Pietro Fittipaldi,0.0,23,17
2021,Max Verstappen,395.5,1,22
2021,Lewis Hamilton,387.5,2,22
2021,Valtteri Bottas,226.0,3,22
2021,Sergio Pérez,190.0,4,22
2021,Carlos Sainz,164.5,5,22
2021,Lando Norris,160.0,6,22
2021,Charles Leclerc,159.0,7,22
2021,Daniel Ricciardo,115.0,8,22
2021,Pierre Gasly,110.0,9,22
2021,Fernando Alonso,81.0,10,22
2021,Esteban Ocon,74.0,11,22
2021,Sebastian Vettel,43.0,12,22
2021,Lance Stroll,34.0,13,22
2021,Yuki Tsunoda,32.0,14,22
2021,George Russell,16.0,15,22
2021,Kimi Räikkönen,10.0,16,22
2021,Nicholas Latifi,7.0,17,22
2021,Antonio Giovinazzi,3.0,18,22
2021,Mick Schumacher,0.0,19,22
2021,Robert Kubica,0.0,20,22
2021,Nikita Mazepin,0.0,21,22
2022,Max Verstappen,454.0,1,22
2022,Charles Leclerc,308.0,2,22
2022,Sergio Pérez,305.0,3,22
2022,George Russell,275.0,4,22
2022,Carlos Sainz,246.0,5,22
2022,Lewis Hamilton,240.0,6,22
2022,Lando Norris,122.0,7,22
2022,Esteban Ocon,92.0,8,22
2022,Fernando Alonso,81.0,9,22
2022,Valtteri Bottas,49.0,10,22
2022,Daniel Ricciardo,37.0,11,22
2022,Sebastian Vettel,37.0,12,22
2022,Kevin Magnussen,25.0,13,22
2022,Pierre Gasly,23.0,14,22
2022,Lance Stroll,18.0,15,22
2022,Mick Schumacher,12.0,16,22
2022,Yuki Tsunoda,12.0,17,22
2022,Guanyu Zhou,6.0,18,22
2022,Alexander Albon,4.0,19,22
2022,Nicholas Latifi,2.0,20,22
2022,Nyck de Vries,2.0,21,22
2022,Nico Hülkenberg,0.0,22,22
2023,Max Verstappen,575.0,1,22
2023,Sergio Pérez,285.0,2,22
2023,Lewis Hamilton,234.0,3,22
2023,Fernando Alonso,206.0,4,22
2023,Charles Leclerc,206.0,5,22
2023,Lando Norris,205.0,6,22
2023,Carlos Sainz,200.0,7,22
2023,George Russell,175.0,8,22
2023,Oscar Piastri,97.0,9,22
2023,Lance Stroll,74.0,10,22
2023,Pierre Gasly,62.0,11,22
2023,Esteban Ocon,58.0,12,22
2023,Alexander Albon,27.0,13,22
2023,Yuki Tsunoda,17.0,14,22
2023,Valtteri Bottas,10.0,15,22
2023,Nico Hülkenberg,9.0,16,22
2023,Daniel Ricciardo,6.0,17,22
2023,Guanyu Zhou,6.0,18,22
2023,Kevin Magnussen,3.0,19,22
2023,Liam Lawson,2.0,20,22
2023,Logan Sargeant,1.0,21,22
2023,Nyck de Vries,0.0,22,22
2024,Max Verstappen,437.0,1,24
2024,Lando Norris,374.0,2,24
2024,Charles Leclerc,356.0,3,24
2024,Oscar Piastri,292.0,4,24
2024,Carlos Sainz,290.0,5,24
2024,George Russell,245.0,6,24
2024,Lewis Hamilton,223.0,7,24
2024,Sergio Pérez,152.0,8,24
2024,Fernando Alonso,70.0,9,24
2024,Pierre Gasly,42.0,10,24
2024,Nico Hülkenberg,41.0,11,24
2024,Yuki Tsunoda,30.0,12,24
2024,Lance Stroll,24.0,13,24
2024,Esteban Ocon,23.0,14,24
2024,Kevin Magnussen,16.0,15,24
2024,Alexander Albon,12.0,16,24
2024,Daniel Ricciardo,12.0,17,24
2024,Oliver Bearman,7.0,18,24
2024,Franco Colapinto,5.0,19,24
2024,Guanyu Zhou,4.0,20,24
2024,Liam Lawson,4.0,21,24
2024,Valtteri Bottas,0.0,22,24
2024,Logan Sargeant,0.0,23,24
2024,Jack Doohan,0.0,24,24
2025,Lando Norris,390.0,1,22
2025,Oscar Piastri,366.0,2,22
2025,Max Verstappen,341.0,3,22
2025,George Russell,276.0,4,22
2025,Charles Leclerc,214.0,5,22
2025,Lewis Hamilton,148.0,6,22
2025,Andrea Kimi Antonelli,122.0,7,22
2025,Alexander Albon,73.0,8,22
2025,Nico Hülkenberg,43.0,9,22
2025,Isack Hadjar,43.0,10,22
2025,Oliver Bearman,40.0,11,22
2025,Fernando Alonso,40.0,12,22
2025,Carlos Sainz,38.0,13,22
2025,Liam Lawson,36.0,14,22
2025,Lance Stroll,32.0,15,22
2025,Esteban Ocon,30.0,16,22
2025,Yuki Tsunoda,28.0,17,22
2025,Pierre Gasly,22.0,18,22
2025,Gabriel Bortoleto,19.0,19,22
2025,Franco Colapinto,0.0,20,22
2025,Jack Doohan,0.0,21,22
